x,bairro,preco,area,suites,dormitorios,banheiros,vagas
53,sao-mateus,479000.0,105.0,1.0,3.0,2.0,2.0
60,sao-mateus,1290000.0,100.0,2.0,2.0,3.0,2.0
64,sao-mateus,1100000.0,130.0,2.0,4.0,4.0,2.0
78,sao-mateus,1250000.0,133.0,3.0,3.0,5.0,2.0
138,sao-mateus,950000.0,101.0,2.0,3.0,4.0,2.0
182,ermelino-matarazzo,440000.0,85.0,1.0,3.0,2.0,2.0
431,sao-miguel-paulista,570000.0,137.0,1.0,3.0,4.0,3.0
498,mooca,680000.0,94.0,1.0,3.0,3.0,2.0
502,mooca,600000.0,112.0,1.0,3.0,2.0,2.0
506,mooca,1400000.0,141.0,3.0,3.0,4.0,2.0
516,mooca,900000.0,118.0,3.0,3.0,4.0,2.0
522,mooca,740000.0,160.0,1.0,3.0,1.0,2.0
523,mooca,1400000.0,178.0,3.0,3.0,5.0,3.0
526,mooca,980000.0,108.0,3.0,3.0,3.0,2.0
527,mooca,695000.0,112.0,1.0,3.0,4.0,2.0
533,mooca,1290000.0,146.0,3.0,3.0,5.0,2.0
538,mooca,781000.0,110.0,1.0,3.0,2.0,2.0
542,mooca,920000.0,141.0,2.0,4.0,3.0,2.0
546,mooca,740000.0,105.0,3.0,3.0,4.0,2.0
547,mooca,1272000.0,115.0,1.0,3.0,3.0,2.0
548,mooca,1320000.0,151.0,3.0,3.0,2.0,3.0
549,mooca,495000.0,87.0,1.0,3.0,2.0,1.0
552,mooca,848000.0,104.0,3.0,3.0,3.0,2.0
565,mooca,650000.0,110.0,1.0,3.0,2.0,2.0
566,mooca,800000.0,91.0,2.0,3.0,3.0,2.0
571,mooca,540000.0,86.0,1.0,3.0,3.0,1.0
572,mooca,885000.0,107.0,3.0,3.0,3.0,2.0
579,mooca,795000.0,158.0,1.0,3.0,3.0,2.0
591,mooca,570000.0,92.0,1.0,3.0,2.0,2.0
592,mooca,950000.0,128.0,2.0,4.0,3.0,3.0
